,Original_Player,Similar_Players
38,Jahmyl Telfort,"Pete Nance, Isaiah Roby, Cameron Bairstow"
39,Jalen Bridges,"Doug McDermott, Emoni Bates, Sergey Karasev"
40,Jamir Watkins,"Lindy Waters III, Tyler Johnson, Aaron Wiggins"
41,Jase Richardson,"Isaiah Joe, Quentin Grimes, Moses Moody"
42,Javon Small,"Yogi Ferrell, Jordan McLaughlin, Craig Porter Jr."
43,Javonte Cooke,"Pat Connaughton, Jordan Schakel, Vince Williams Jr."
44,Jaylen Martin,"Anthony Lamb, Miye Oni, Jalen McDaniels"
45,Jaylen Sims,"Xavier Moon, Sean Kilpatrick, Xavier Munford"
46,Jazian Gortman,"Scotty Pippen Jr., Isaiah Canaan, Lindell Wigginton"
47,Jeremiah Fears,"D'Angelo Russell, De'Aaron Fox, Dennis Smith Jr."
48,Jesse Edwards,"Courtney Sims, Jay Huff, Will Conroy"
49,Joan Beringer,"Brandan Wright, Quincy Acy, Jarnell Stokes"
50,John Tonje,"D.J. Carton, Amir Coffey, Shake Milton"
51,Johni Broome,"Solomon Alabi, Dexter Pittman, Zhou Qi"
52,Kam Jones,"Ron Baker, Ty Jerome, Daishen Nix"
53,Kasparas Jakučionis,"Dyson Daniels, Saben Lee, Anthony Black"
54,Keion Brooks Jr.,"Braxton Key, Cameron Oliver, Julian Champagnie"
55,Khaman Maluach,"Goga Bitadze, Moussa Diabaté, Jakob Poeltl"
56,Kobe Sanders,"Payton Pritchard, Ochai Agbaji, Aaron Wiggins"
57,Koby Brea,"Skylar Mays, Mason Jones, A.J. Green"
58,Kon Knueppel,"Jayson Tatum, Franz Wagner, Wally Szczerbiak"
59,Kylor Kelley,"Vincent Poirier, Anžejs Pasečņiks, Marshall Plumlee"
60,Lachlan Olbrich,"Orlando Robinson, Marshall Plumlee, Daniel Oturu"
61,Liam McNeeley,"Aaron Nesmith, Justin Champagnie, Sidy Cissoko"
62,Liam Robbins,"Ognjen Kuzmić, Robert Sacre, Darryl Watkins"
63,Marcus Bagley,"Braxton Key, Jemerrio Jones, Damion James"
64,Mark Sears,"Bryce Cotton, Jordan McRae, Patty Mills"
65,Max Shulga,"Vince Williams Jr., Jamaal Franklin, Tyrese Martin"
66,Maxime Raynaud,"Deandre Ayton, Al Horford, Jalen Duren"
67,Micah Peavy,"Ben Sheppard, Denzel Valentine, Sterling Brown"
68,Miles Kelly,"Lindell Wigginton, David Duke Jr., Javonte Smart"
69,Miles Norris,"Mamadi Diakite, Alize Johnson, Josh Huestis"
70,Mohamed Diawara,"Cedi Osman, Trey Murphy III, Troy Brown Jr."
71,Moussa Cisse,"Gorgui Dieng, Mo Bamba, DeAndre Jordan"
72,Myron Gardner,"Sam Hauser, Jeremy Evans, Royce O'Neale"
73,Nikola Topić,"Tim Frazier, Killian Hayes, David Stockton"
74,Nique Clifford,"Jarrett Culver, Isaac Okoro, Aaron Wiggins"
75,Noa Essengue,"Kostas Antetokounmpo, Julius Randle, Craig Brackins"
76,Noah Penda,"Troy Brown Jr., Devin Vassell, Greg Brown III"
77,Nolan Traoré,"Théo Maledon, Zach LaVine, Isaiah Whitehead"
78,Phillip Wheeler,"Georges Niang, Justin Harper, Craig Brackins"
79,Quincy Olivari,"Jared Harper, Sharife Cooper, Gabe Vincent"
80,Rasheer Fleming,"Lamar Stevens, Nassir Little, Jabari Walker"
81,Reece Beekman,"Jevon Carter, Jaylen Adams, Jawun Evans"
82,Rocco Zikarsky,"Charles Bassey, Nic Claxton, Robert Williams"
83,Ryan Kalkbrenner,"Walker Kessler, Mason Plumlee, Willie Cauley-Stein"
84,Ryan Nembhard,"Charles Jenkins, Tyler Ulis, Nate Wolters"
85,Sion James,"Austin Reaves, Evan Turner, Christian Braun"
86,Taelon Peter,"Brodric Thomas, Donte DiVincenzo, Ben Sheppard"
87,Tre Johnson,"Malaki Branham, Jarrett Culver, RJ Barrett"
88,Tyrese Proctor,"Aaron Holiday, Cameron Payne, Kay Felder"
89,Ulrich Chomche,"JT Thor, Alize Johnson, Jalen Smith"
90,VJ Edgecombe,"Jalen Williams, Jason Richardson, Tyreke Evans"
91,Vladislav Goldin,"Cristiano Felício, Viacheslav Kravtsov, Edy Tavares"
92,Walter Clayton,"Marcus Sasser, Tyler Ulis, Davion Mitchell"
93,Will Richard,"Austin Reaves, Cason Wallace, Matisse Thybulle"
94,Will Riley,"Timothé Luwawu-Cabarrot, Kevin Porter Jr., Mario Hezonja"
95,Yang Hansen,"Moritz Wagner, Robert Sacre, Alex Len"
96,Yanic Konan Niederhäuser,"Onyeka Okongwu, Johnathan Williams, Charles Bassey"
97,Yuri Collins,"Pepe Sánchez, Jeremy Lin, Josh Magette"
