,Rk,Player,debut,Age,Yrs,Games,Minutes Played,Field Goals,FGA,3-Point Field Goals,3-Point Field Goal Attempts,Free Throws,Free Throw Attempts,Offensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Field Goal Percentage,3-Point Field Goal Percentage,Free Throw Percentage,Minutes Played Per Game,Points Per Game,Total Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game
10,11,Dylan Cardwell,"Oct 22, '25, SAC @ PHO",24,1,44,907,105,179,2,4,26,51,147,332,62,30,67,39,161,238,.587,.500,.510,20.6,5.4,7.5,1.4,0.7,1.5
11,12,Moussa Cisse,"Oct 22, '25, DAL vs. SAS",23,1,38,530,66,115,0,0,38,81,89,216,9,19,45,30,73,170,.574,,.469,13.9,4.5,5.7,0.2,0.5,1.2
12,13,Walter Clayton,"Oct 22, '25, UTA vs. LAC",22,1,69,1410,177,461,75,244,109,121,25,139,279,44,19,116,119,538,.384,.307,.901,20.4,7.8,2.0,4.0,0.6,0.3
13,14,Nique Clifford,"Oct 22, '25, SAC @ PHO",23,1,75,1882,249,596,77,231,70,97,65,282,179,68,24,116,156,645,.418,.333,.722,25.1,8.6,3.8,2.4,0.9,0.3
14,15,Javonte Cooke,"Nov 19, '25, POR vs. CHI",26,1,19,94,9,41,3,23,2,2,4,19,7,6,0,9,6,23,.220,.130,1.000,4.9,1.2,1.0,0.4,0.3,0.0
15,16,Cedric Coward,"Oct 22, '25, MEM vs. NOP",22,1,62,1598,305,648,93,275,140,166,83,364,171,40,27,105,126,843,.471,.338,.843,25.8,13.6,5.9,2.8,0.6,0.4
16,17,LJ Cryer,"Jan 19, '26, GSW vs. MIA",24,1,18,292,47,117,37,94,17,19,4,28,18,3,0,14,28,148,.402,.394,.895,16.2,8.2,1.6,1.0,0.2,0.0
17,18,Mohamed Diawara,"Oct 28, '25, NYK @ MIL",20,1,69,634,90,213,48,130,18,24,15,94,53,17,6,30,50,246,.423,.369,.750,9.2,3.6,1.4,0.8,0.2,0.1
18,19,Hunter Dickinson,"Oct 22, '25, NOP @ MEM",25,1,5,42,5,14,0,4,2,2,2,5,2,1,2,3,6,12,.357,.000,1.000,8.4,2.4,1.0,0.4,0.2,0.4
19,20,Egor Dёmin,"Oct 22, '25, BRK @ CHO",19,1,52,1308,179,449,124,322,54,65,21,165,173,42,17,86,93,536,.399,.385,.831,25.2,10.3,3.2,3.3,0.8,0.3
20,,Totals,Shooting,Per Game,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
22,21,VJ Edgecombe,"Oct 22, '25, PHI @ BOS",20,1,75,2623,451,1030,149,421,148,181,122,423,315,107,39,137,214,1199,.438,.354,.818,35.0,16.0,5.6,4.2,1.4,0.5
23,22,Tristan Enaruna,"Feb 1, '26, CLE @ POR",24,1,9,85,14,28,3,10,6,8,7,14,7,5,0,3,3,37,.500,.300,.750,9.4,4.1,1.6,0.8,0.6,0.0
24,23,Noa Essengue,"Nov 22, '25, CHI vs. WAS",19,1,2,6,0,3,0,2,0,0,0,0,0,1,0,0,1,0,.000,.000,,3.0,0.0,0.0,0.0,0.5,0.0
25,24,Jeremiah Fears,"Oct 22, '25, NOP @ MEM",19,1,82,2112,437,1006,101,306,194,246,60,300,279,97,30,178,151,1169,.434,.330,.789,25.8,14.3,3.7,3.4,1.2,0.4
26,25,Cooper Flagg,"Oct 22, '25, DAL vs. SAS",19,1,70,2344,559,1194,72,244,283,342,86,466,316,84,64,161,142,1473,.468,.295,.827,33.5,21.0,6.7,4.5,1.2,0.9
27,26,Rasheer Fleming,"Oct 24, '25, PHO @ LAC",21,1,55,673,87,215,45,130,19,34,57,124,16,22,21,29,64,238,.405,.346,.559,12.2,4.3,2.3,0.3,0.4,0.4
28,27,Andersson Garcia,"Mar 11, '26, UTA vs. NYK",25,1,5,169,9,29,1,13,7,9,17,42,14,8,4,7,16,26,.310,.077,.778,33.8,5.2,8.4,2.8,1.6,0.8
29,28,Myron Gardner,"Oct 28, '25, MIA vs. CHO",24,1,45,411,59,123,26,64,19,26,39,122,44,20,8,17,78,163,.480,.406,.731,9.1,3.6,2.7,1.0,0.4,0.2
30,29,Keshon Gilbert,"Feb 7, '26, WAS @ BRK",22,1,4,74,5,12,0,3,7,7,2,5,12,3,4,8,5,17,.417,.000,1.000,18.5,4.3,1.3,3.0,0.8,1.0
31,30,Vladislav Goldin,"Dec 19, '25, MIA @ BOS",24,1,9,24,3,4,0,0,1,1,3,9,3,0,3,3,5,7,.750,,1.000,2.7,0.8,1.0,0.3,0.0,0.3
32,31,Hugo González,"Oct 24, '25, BOS @ NYK",19,1,74,1084,117,246,42,116,13,26,62,246,40,42,21,38,124,289,.476,.362,.500,14.6,3.9,3.3,0.5,0.6,0.3
33,32,Hayden Gray,"Apr 12, '26, UTA @ LAL",22,1,1,25,2,3,0,1,2,2,0,0,1,1,1,1,0,6,.667,.000,1.000,25.0,6.0,0.0,1.0,1.0,1.0
34,33,Yang Hansen,"Oct 22, '25, POR vs. MIN",20,1,43,300,31,100,5,42,28,34,20,66,22,3,10,32,43,95,.310,.119,.824,7.0,2.2,1.5,0.5,0.1,0.2
35,34,Dylan Harper,"Oct 22, '25, SAS @ DAL",19,1,69,1558,331,656,61,178,90,119,54,234,266,54,24,99,139,813,.505,.343,.756,22.6,11.8,3.4,3.9,0.8,0.3
36,35,Chucky Hepburn,"Nov 30, '25, TOR @ NYK",22,1,2,13,0,6,0,5,0,0,0,1,2,1,0,1,2,0,.000,.000,,6.5,0.0,0.5,1.0,0.5,0.0
37,36,Blake Hinson,"Feb 12, '26, UTA vs. POR",26,1,14,285,59,115,37,79,12,16,11,33,16,5,2,5,24,167,.513,.468,.750,20.4,11.9,2.4,1.1,0.4,0.1
38,37,DaRon Holmes,"Oct 25, '25, DEN vs. PHO",23,1,25,210,31,61,20,45,11,14,8,35,16,1,6,12,19,93,.508,.444,.786,8.4,3.7,1.4,0.6,0.0,0.2
39,38,CJ Huntley,"Mar 22, '26, PHO vs. TOR",24,1,4,40,6,11,0,3,0,0,2,5,2,1,0,0,2,12,.545,.000,,10.0,3.0,1.3,0.5,0.3,0.0
40,39,Kasparas Jakučionis,"Dec 1, '25, MIA vs. LAC",19,1,53,945,102,238,66,156,58,66,43,138,137,33,7,50,99,328,.429,.423,.879,17.8,6.2,2.6,2.6,0.6,0.1
41,40,Sion James,"Oct 22, '25, CHO vs. BRK",23,1,82,1843,138,372,83,236,82,98,49,287,163,52,20,65,148,441,.371,.352,.837,22.5,5.4,3.5,2.0,0.6,0.2
42,,Totals,Shooting,Per Game,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
44,41,Chaney Johnson,"Mar 9, '26, BRK vs. MEM",23,1,17,348,51,94,9,30,28,35,33,79,36,15,9,20,51,139,.543,.300,.800,20.5,8.2,4.6,2.1,0.9,0.5
45,42,Tre Johnson,"Oct 22, '25, WAS @ MIL",19,1,60,1443,271,647,115,321,76,87,29,170,122,33,18,93,122,733,.419,.358,.874,24.1,12.2,2.8,2.0,0.6,0.3
46,43,Curtis Jones,"Nov 29, '25, DEN @ PHO",24,1,10,88,11,27,6,18,1,2,2,11,10,4,0,2,6,29,.407,.333,.500,8.8,2.9,1.1,1.0,0.4,0.0
47,44,Kam Jones,"Dec 22, '25, IND @ BOS",23,1,37,616,68,169,22,75,4,8,15,60,119,18,0,36,39,162,.402,.293,.500,16.6,4.4,1.6,3.2,0.5,0.0
48,45,David Jones García,"Oct 22, '25, SAS @ DAL",24,1,11,68,13,25,3,5,3,6,4,13,18,6,1,5,6,32,.520,.600,.500,6.2,2.9,1.2,1.6,0.5,0.1
49,46,Ryan Kalkbrenner,"Oct 22, '25, CHO vs. BRK",24,1,69,1479,219,291,0,5,83,116,167,377,54,32,101,62,107,521,.753,.000,.716,21.4,7.6,5.5,0.8,0.5,1.5
50,47,Miles Kelly,"Oct 26, '25, DAL vs. TOR",23,1,14,134,16,44,10,33,1,1,5,24,12,4,1,6,12,43,.364,.303,1.000,9.6,3.1,1.7,0.9,0.3,0.1
51,48,Jayson Kent,"Mar 16, '26, POR @ BRK",23,1,5,22,4,7,1,4,1,1,0,5,0,1,1,0,1,10,.571,.250,1.000,4.4,2.0,1.0,0.0,0.2,0.2
52,49,Kon Knueppel,"Oct 22, '25, CHO vs. BRK",20,1,81,2551,515,1084,273,642,195,226,97,432,274,57,19,161,169,1498,.475,.425,.863,31.5,18.5,5.3,3.4,0.7,0.2
53,50,Yanic Konan Niederhäuser,"Oct 22, '25, LAC @ UTA",22,1,41,424,64,100,1,5,47,62,37,117,12,5,30,23,66,176,.640,.200,.758,10.3,4.3,2.9,0.3,0.1,0.7
54,51,Chaz Lanier,"Oct 24, '25, DET @ HOU",24,1,34,262,28,89,19,67,5,6,8,23,17,7,0,3,12,80,.315,.284,.833,7.7,2.4,0.7,0.5,0.2,0.0
55,52,Caleb Love,"Oct 27, '25, POR @ LAL",24,1,49,1013,190,490,93,292,36,49,25,114,123,27,4,62,48,509,.388,.318,.735,20.7,10.4,2.3,2.5,0.6,0.1
56,53,Lawson Lovering,"Feb 11, '26, MEM @ DEN",22,1,2,49,6,10,0,0,2,5,6,15,3,3,1,2,7,14,.600,,.400,24.5,7.0,7.5,1.5,1.5,0.5
57,54,Khaman Maluach,"Oct 24, '25, PHO @ LAC",19,1,46,411,56,105,5,21,22,31,49,133,6,5,33,25,43,139,.533,.238,.710,8.9,3.0,2.9,0.1,0.1,0.7
58,55,Chris Mañon,"Oct 26, '25, LAL @ SAC",24,1,9,46,2,6,0,3,3,4,2,10,3,5,2,1,6,7,.333,.000,.750,5.1,0.8,1.1,0.3,0.6,0.2
59,56,Alijah Martin,"Dec 7, '25, TOR vs. BOS",24,1,23,146,16,50,4,21,15,19,9,21,12,8,4,8,12,51,.320,.190,.789,6.3,2.2,0.9,0.5,0.3,0.2
60,57,Jahmai Mashack,"Nov 20, '25, MEM vs. SAC",23,1,31,673,77,195,19,75,19,35,23,81,69,37,14,49,67,192,.395,.253,.543,21.7,6.2,2.6,2.2,1.2,0.5
61,58,Bez Mbeng,"Mar 13, '26, UTA @ POR",22,1,15,492,50,100,6,31,16,25,18,57,62,34,5,22,46,122,.500,.194,.640,32.8,8.1,3.8,4.1,2.3,0.3
62,59,Liam McNeeley,"Oct 26, '25, CHO @ WAS",20,1,31,368,38,95,24,60,32,39,13,73,24,5,3,13,36,132,.400,.400,.821,11.9,4.3,2.4,0.8,0.2,0.1
63,60,Alex Morales,"Mar 19, '26, ORL @ CHO",28,1,4,24,3,7,0,1,2,2,1,3,4,0,0,4,7,8,.429,.000,1.000,6.0,2.0,0.8,1.0,0.0,0.0
64,,Totals,Shooting,Per Game,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
66,61,Collin Murray-Boyles,"Oct 26, '25, TOR @ DAL",20,1,57,1246,198,342,17,50,71,108,133,285,106,52,53,59,147,484,.579,.340,.657,21.9,8.5,5.0,1.9,0.9,0.9
67,62,Grant Nelson,"Feb 27, '26, BRK @ BOS",23,1,4,35,5,9,0,0,7,10,1,6,5,1,5,4,6,17,.556,,.700,8.8,4.3,1.5,1.3,0.3,1.3
68,63,Ryan Nembhard,"Oct 22, '25, DAL vs. SAS",22,1,60,1171,162,390,48,135,25,31,13,133,316,25,2,85,86,397,.415,.356,.806,19.5,6.6,2.2,5.3,0.4,0.0
69,64,Asa Newell,"Oct 24, '25, ATL @ ORL",20,1,44,500,91,169,29,75,16,29,44,96,26,16,15,23,65,227,.538,.387,.552,11.4,5.2,2.2,0.6,0.4,0.3
70,65,Josh Oduro,"Apr 7, '26, NOP vs. UTA",25,1,3,82,11,17,0,2,3,6,11,23,4,0,0,2,14,25,.647,.000,.500,27.3,8.3,7.7,1.3,0.0,0.0
71,66,Toby Okani,"Apr 3, '26, MEM vs. TOR",24,1,6,217,25,70,9,31,1,8,9,21,6,4,3,3,20,60,.357,.290,.125,36.2,10.0,3.5,1.0,0.7,0.5
72,67,Lachlan Olbrich,"Nov 29, '25, CHI @ IND",22,1,37,344,36,77,2,19,15,40,45,112,42,12,8,16,49,89,.468,.105,.375,9.3,2.4,3.0,1.1,0.3,0.2
73,68,Norchad Omier,"Mar 2, '26, LAC @ GSW",24,1,6,24,7,10,0,1,3,3,4,7,2,1,0,0,4,17,.700,.000,1.000,4.0,2.8,1.2,0.3,0.2,0.0
74,69,Micah Peavy,"Oct 27, '25, NOP vs. BOS",24,1,61,913,106,275,28,108,22,29,46,117,61,43,9,20,96,262,.385,.259,.759,15.0,4.3,1.9,1.0,0.7,0.1
75,70,Sean Pedulla,"Mar 11, '26, LAC vs. MIN",23,1,7,31,5,15,3,10,0,0,0,3,5,0,0,1,4,13,.333,.300,,4.4,1.9,0.4,0.7,0.0,0.0
76,71,Noah Penda,"Oct 27, '25, ORL @ PHI",21,1,59,757,82,203,30,93,33,48,67,187,70,30,18,42,70,227,.404,.323,.688,12.8,3.8,3.2,1.2,0.5,0.3
77,72,Taelon Peter,"Oct 23, '25, IND vs. OKC",23,1,38,492,60,158,41,125,10,16,10,59,40,26,4,27,38,171,.380,.328,.625,12.9,4.5,1.6,1.1,0.7,0.1
78,73,John Poulakidas,"Mar 3, '26, DAL @ CHO",22,1,13,253,39,91,31,77,6,7,4,30,11,7,4,4,28,115,.429,.403,.857,19.5,8.8,2.3,0.8,0.5,0.3
79,74,Drake Powell,"Oct 22, '25, BRK @ CHO",20,1,63,1320,144,358,51,182,69,77,21,111,91,36,14,60,89,408,.402,.280,.896,21.0,6.5,1.8,1.4,0.6,0.2
80,75,Tyrese Proctor,"Oct 22, '25, CLE @ NYK",21,1,50,545,93,225,46,131,40,45,11,64,74,25,0,40,59,272,.413,.351,.889,10.9,5.4,1.3,1.5,0.5,0.0
81,76,Derik Queen,"Oct 22, '25, NOP @ MEM",21,1,81,2023,354,748,23,88,217,273,136,572,298,84,74,190,215,948,.473,.261,.795,25.0,11.7,7.1,3.7,1.0,0.9
82,77,Maxime Raynaud,"Oct 22, '25, SAC @ PHO",22,1,74,1964,383,671,24,74,132,168,142,556,100,38,39,94,170,922,.571,.324,.786,26.5,12.5,7.5,1.4,0.5,0.5
83,78,Julian Reese,"Mar 2, '26, WAS vs. HOU",22,1,13,402,63,119,0,0,28,44,55,137,24,18,8,32,42,154,.529,,.636,30.9,11.8,10.5,1.8,1.4,0.6
84,79,Will Richard,"Oct 21, '25, GSW @ LAL",23,1,69,1377,162,346,71,212,46,54,67,172,93,80,9,53,131,441,.468,.335,.852,20.0,6.4,2.5,1.3,1.2,0.1
85,80,Jase Richardson,"Oct 25, '25, ORL vs. CHI",20,1,54,587,89,188,28,79,33,46,21,63,58,19,2,25,53,239,.473,.354,.717,10.9,4.4,1.2,1.1,0.4,0.0
86,,Totals,Shooting,Per Game,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
88,81,Kadary Richmond,"Feb 11, '26, WAS @ CLE",24,1,3,67,10,16,2,4,3,3,1,10,8,8,1,2,2,25,.625,.500,1.000,22.3,8.3,3.3,2.7,2.7,0.3
89,82,Will Riley,"Oct 22, '25, WAS @ MIL",19,1,74,1633,271,618,78,247,144,180,56,212,146,54,9,94,91,764,.439,.316,.800,22.1,10.3,2.9,2.0,0.7,0.1
90,83,Cormac Ryan,"Mar 19, '26, MIL @ UTA",27,1,11,271,53,102,27,59,24,26,8,28,19,11,3,17,27,157,.520,.458,.923,24.6,14.3,2.5,1.7,1.0,0.3
91,84,Hunter Sallis,"Oct 27, '25, PHI vs. ORL",22,1,7,26,3,5,0,0,1,2,0,1,4,0,1,5,2,7,.600,,.500,3.7,1.0,0.1,0.6,0.0,0.1
92,85,Kobe Sanders,"Oct 22, '25, LAC @ UTA",23,1,68,1351,179,384,80,196,57,69,29,153,109,49,10,81,146,495,.466,.408,.826,19.9,7.3,2.3,1.6,0.7,0.1
93,86,Payton Sandfort,"Mar 18, '26, OKC @ BRK",23,1,4,63,13,26,7,17,2,4,1,10,0,1,0,1,8,35,.500,.412,.500,15.8,8.8,2.5,0.0,0.3,0.0
94,87,Ben Saraf,"Oct 22, '25, BRK @ CHO",19,1,44,916,120,303,19,90,73,88,20,92,145,38,8,99,81,332,.396,.211,.830,20.8,7.5,2.1,3.3,0.9,0.2
95,88,Mark Sears,"Oct 26, '25, MIL @ CLE",23,1,7,26,6,13,4,8,6,8,1,2,2,0,0,4,4,22,.462,.500,.750,3.7,3.1,0.3,0.3,0.0,0.0
96,89,Max Shulga,"Feb 4, '26, BOS @ HOU",23,1,11,36,2,8,1,4,2,2,3,6,2,1,0,3,10,7,.250,.250,1.000,3.3,0.6,0.5,0.2,0.1,0.0
97,90,Javon Small,"Oct 22, '25, MEM vs. NOP",23,1,41,830,134,288,60,142,68,82,36,128,151,34,9,56,65,396,.465,.423,.829,20.2,9.7,3.1,3.7,0.8,0.2
98,91,Malachi Smith,"Mar 14, '26, BRK @ PHI",26,1,15,359,48,99,20,46,8,8,12,51,49,12,4,14,13,124,.485,.435,1.000,23.9,8.3,3.4,3.3,0.8,0.3
99,92,Jahmyl Telfort,"Oct 28, '25, LAC @ GSW",24,1,8,32,0,4,0,4,1,4,0,3,1,1,0,1,5,1,.000,.000,.250,4.0,0.1,0.4,0.1,0.1,0.0
100,93,Adou Thiero,"Nov 15, '25, LAL @ MIL",21,1,25,149,16,31,1,3,14,22,9,28,10,7,2,9,19,47,.516,.333,.636,6.0,1.9,1.1,0.4,0.3,0.1
101,94,Ethan Thompson,"Dec 1, '25, IND vs. CLE",26,1,32,653,74,196,38,116,37,47,17,69,57,20,9,25,69,223,.378,.328,.787,20.4,7.0,2.2,1.8,0.6,0.3
102,95,John Tonje,"Feb 24, '26, BOS @ PHO",24,1,6,42,4,14,3,10,4,4,0,6,2,2,0,0,5,15,.286,.300,1.000,7.0,2.5,1.0,0.3,0.3,0.0
103,96,Nikola Topić,"Feb 12, '26, OKC vs. MIL",20,1,10,160,22,51,6,15,2,5,7,19,44,5,0,25,13,52,.431,.400,.400,16.0,5.2,1.9,4.4,0.5,0.0
104,97,Nolan Traoré,"Oct 22, '25, BRK @ CHO",19,1,56,1243,182,479,61,192,74,94,14,99,213,45,23,129,119,499,.380,.318,.787,22.2,8.9,1.8,3.8,0.8,0.4
105,98,Jamir Watkins,"Oct 28, '25, WAS vs. PHI",24,1,50,1032,132,296,47,158,57,82,49,194,67,54,25,40,129,368,.446,.297,.695,20.6,7.4,3.9,1.3,1.1,0.5
106,99,Amari Williams,"Oct 24, '25, BOS @ NYK",24,1,22,146,10,20,0,0,10,14,9,40,10,3,10,11,19,30,.500,,.714,6.6,1.4,1.8,0.5,0.1,0.5
107,100,Lucas Williamson,"Apr 1, '26, MEM vs. NYK",27,1,7,224,25,75,15,53,8,8,11,38,18,11,1,10,26,73,.333,.283,1.000,32.0,10.4,5.4,2.6,1.6,0.1
108,,Totals,Shooting,Per Game,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
110,101,Danny Wolf,"Nov 3, '25, BRK vs. MIN",21,1,57,1187,178,440,68,211,84,109,57,281,127,30,32,73,126,508,.405,.322,.771,20.8,8.9,4.9,2.2,0.5,0.6
111,102,Chris Youngblood,"Oct 21, '25, OKC vs. HOU",23,1,34,185,22,63,18,54,9,10,7,28,12,4,3,2,22,71,.349,.333,.900,5.4,2.1,0.8,0.4,0.1,0.1
112,103,Rocco Zikarsky,"Feb 22, '26, MIN vs. PHI",19,1,5,36,5,8,0,0,4,4,2,14,2,0,5,1,3,14,.625,,1.000,7.2,2.8,2.8,0.4,0.0,1.0
